,x_emb,y_emb,t,name,house,good_bad,degree,main,id
261,-2.4054701,-3.3136928,5,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0,6
262,2.884521,-1.6066091,5,Fleur Delacour,n,bad,1,0,7
263,-0.41247666,-2.7938342,5,Cedric Diggory,h,bad,1,0,8
264,0.9726072,-1.173729,5,Albus Dumbledore,g,bad,18,1,9
265,0.52960396,-1.8069857,5,Dudley Dursley,m,good,2,0,10
266,0.61317223,-1.4021051,5,Petunia Dursley,m,good,4,0,11
267,1.1643769,-1.1676992,5,Vernon Dursley,m,good,3,0,12
268,0.21188375,-2.2301881,5,Argus Filch,n,good,10,0,13
269,2.5161667,-1.089185,5,Cornelius Fudge,n,good,3,0,14
270,1.2554824,-1.2359521,5,Gregory Goyle,s,good,3,0,15
271,0.24607143,-1.4496049,5,Hermione Granger,g,bad,19,1,16
272,0.0036349993,-2.3647192,5,Rubeus Hagrid,g,bad,3,0,17
273,-0.31621724,-2.7989028,5,Igor Karkaroff,n,bad,1,0,18
274,3.248658,-1.7417899,5,Bellatrix Lestrange,s,good,11,0,19
275,-0.1780094,-2.5962188,5,Frank Longbottom,g,bad,1,0,20
276,1.0419958,-1.6883996,5,Neville Longbottom,g,bad,2,0,21
277,0.024291618,-2.4231267,5,Remus Lupin,g,bad,2,0,22
278,2.067065,-1.2917895,5,Draco Malfoy,s,good,7,0,23
279,3.3950386,-1.3202049,5,Lucius Malfoy,s,good,7,0,24
280,1.6122435,-2.1560762,5,Narcissa Malfoy,s,good,1,0,25
281,-0.7930068,-2.5102832,5,Minerva McGonagall,g,bad,6,0,26
282,-2.474463,-3.487474,5,"Alastor ""Mad-Eye"" Moody",n,bad,5,0,27
283,0.65029776,-2.1050608,5,Peter Pettigrew,g,good,19,1,28
284,0.9087159,-1.2923789,5,Harry Potter,g,bad,22,1,29
285,0.42635635,-2.4012764,5,James Potter,g,bad,7,0,30
286,0.111323535,-2.296917,5,Lily Potter,g,bad,5,0,31
287,0.15006335,-1.4283613,5,Quirinus Quirrell,r,good,11,0,32
288,-0.5055114,-2.9278352,5,Tom Riddle Sr.,m,bad,5,0,33
289,-0.17114508,-2.4780166,5,Mary Riddle,m,bad,1,0,34
290,-0.59220827,-2.9963453,5,Lord Voldemort,s,good,37,1,35
291,0.95734626,-1.1147335,5,Rita Skeeter,n,good,5,0,36
292,-0.8760812,-2.850127,5,Severus Snape,s,bad,4,0,37
