,x_emb,y_emb,t,tau,id
359,-0.545400553531037,-0.024318000304604053,2,2,59
360,-0.4003142954369726,0.25776522911160965,2,0,60
361,-0.5468708038612291,-0.21771706221143755,2,2,61
362,-0.4011742177454665,0.1885484977301313,2,0,62
363,-0.5118217205180307,-0.336313376339059,2,1,63
364,-0.5370434613306188,-0.12309917723711462,2,1,64
365,-0.41491591848646847,0.22648229258106356,2,0,65
366,-0.5710345881397891,-0.05101047775264166,2,1,66
367,-0.43979284050530587,0.4854622058172398,2,0,67
368,-0.4517071264464708,0.47109557222801773,2,0,68
369,-0.46006351486952557,-0.17525022304321466,2,1,69
370,-0.595186866404701,-0.09009170726932252,2,2,70
371,-0.5754079518264607,-0.07499156162050177,2,1,71
372,-0.48763373479062794,0.030521787708402786,2,1,72
373,-0.621612020067757,-0.1491434995944782,2,2,73
374,-0.6735530436147024,-0.09939300890160693,2,2,74
375,-0.5201415499554626,0.09276159727693073,2,1,75
376,-0.49387863524489833,-0.12477734949251527,2,1,76
377,-0.4659995495749818,0.2888808163694626,2,0,77
378,-0.4898440245647429,-0.1333807611373211,2,1,78
379,-0.4006504753025882,0.3166753441347025,2,0,79
380,-0.5729644077127541,0.004282727288861177,2,2,80
381,-0.5857347230522616,-0.019357936224346887,2,2,81
382,-0.6398873944400857,-0.12245600902516918,2,2,82
383,-0.4085041644968642,0.2872382831845449,2,0,83
384,-0.3485587236627303,0.40045691801881966,2,0,84
385,-0.35686000523914485,0.3717901970311586,2,0,85
386,-0.5561808523742902,-0.041242518521609005,2,2,86
387,-0.40133095450335493,0.4268295373521501,2,0,87
388,-0.648735848435481,-0.09985441843763367,2,2,88
389,-0.48905597264748385,-0.09788510087684972,2,1,89
390,-0.3762434740487144,0.25926417315591377,2,0,90
391,-0.49821340361309613,0.3545631128333335,2,0,91
392,-0.38640728928853296,0.42186272547676845,2,0,92
393,-0.4740429304177909,-0.22374625254180733,2,1,93
394,-0.4261582636323184,0.4015214409910364,2,0,94
395,-0.3838870026712616,0.4936890790822856,2,0,95
396,-0.3707446794111463,0.2754296360151482,2,0,96
397,-0.3976050955943151,0.22009688840140304,2,0,97
398,-0.3605720631028394,0.31628826297874374,2,0,98
399,-0.46960415652446924,-0.04588009633822179,2,1,99
400,-0.4188218804669504,0.24977348435113866,2,0,100
401,-0.6085293360476473,-0.31353309802577795,2,2,101
402,-0.6178581091493508,-0.04158735354404232,2,2,102
403,-0.46986618539630765,-0.056005440753381854,2,1,103
404,-0.5410713541009908,-0.17606850322033454,2,1,104
405,-0.5408025897082511,-0.3488848254997241,2,1,105
406,-0.37001403647590897,0.37684993728386695,2,0,106
407,-0.4861359584080807,0.4573478889423136,2,0,107
408,-0.5225275604868437,0.01864770898176962,2,1,108
409,-0.6044312831110354,0.1208431332966173,2,2,109
410,-0.44685864790402785,-0.32952025512074207,2,1,110
411,-0.555232702838758,-0.162370537471839,2,1,111
412,-0.5178669877193076,-0.11756515531479235,2,1,112
413,-0.5002596878695836,-0.0059704881302876725,2,1,113
414,-0.516666710638275,-0.16488480946578982,2,1,114
415,-0.6464070953614418,0.026269498369287596,2,2,115
416,-0.523243227944513,0.11874714697115882,2,1,116
417,-0.494707604309119,-0.006857218559308242,2,1,117
418,-0.5350665042346255,-0.2592769105991846,2,1,118
419,-0.4532229694462964,0.4159879449135309,2,0,119
420,-0.4253629969316992,0.22124965930742782,2,0,120
421,-0.38124818766810503,0.4345379582753559,2,0,121
422,-0.346183774696552,0.27917058081134055,2,0,122
423,-0.5697211743795593,-0.11872617064101432,2,1,123
424,-0.540141753802962,-0.14851394601480558,2,1,124
425,-0.5996974500732735,-0.11430538152446805,2,1,125
426,-0.5481926355596524,-0.12949291140548597,2,2,126
427,-0.5059474334436281,-0.14471915268767693,2,1,127
428,-0.42851392636203367,-0.02568093153492734,2,1,128
429,-0.39548973061659515,0.21598150328184962,2,0,129
430,-0.5852104320625218,-0.013646855362776997,2,1,130
431,-0.4232173966412551,0.3564706052321951,2,0,131
432,-0.5579532783940853,-0.18307123725773,2,2,132
433,-0.6177104569071034,-0.05171505265244723,2,2,133
434,-0.5616567743931922,-0.17874645454443633,2,2,134
435,-0.6455368979787793,-0.2867813567513863,2,2,135
436,-0.5361273785721282,-0.34670536022189463,2,1,136
437,-0.3616432646717858,0.3946321076866881,2,0,137
438,-0.37169147123208074,0.3370463633491779,2,0,138
439,-0.5846080352107133,-0.20415278322232044,2,2,139
440,-0.6363138919824001,0.13292418201748119,2,2,140
441,-0.619969911188264,-0.11053004411256795,2,2,141
442,-0.37099512267931123,0.24094937985258802,2,0,142
443,-0.44175956727811067,0.41723425018220045,2,0,143
444,-0.6024560052192326,-0.17921104317700873,2,2,144
445,-0.5591492770870099,-0.08487365336476857,2,1,145
446,-0.5063095163930369,-0.005692492673817581,2,1,146
447,-0.6698809553475734,-0.08318537850306065,2,2,147
448,-0.5292847236974774,0.03523647834115584,2,1,148
449,-0.5724712118003001,-0.044634818619361034,2,2,149
