,x_emb,y_emb,t,name,house,good_bad,degree,main,id
321,-0.048812974,-0.57531834,6,Gregory Goyle,s,good,55,0,15
322,-1.2263615,-2.1934648,6,Hermione Granger,g,bad,196,1,16
323,-0.86796343,-1.9660596,6,Rubeus Hagrid,g,bad,49,0,17
324,-0.82856953,-1.6929747,6,Igor Karkaroff,n,bad,37,0,18
325,-0.02206825,-0.420307,6,Bellatrix Lestrange,s,good,98,0,19
326,-0.7813517,-1.817699,6,Frank Longbottom,g,bad,37,0,20
327,-0.7202779,-1.9391629,6,Neville Longbottom,g,bad,44,0,21
328,-1.0059952,-1.9407613,6,Remus Lupin,g,bad,56,0,22
329,0.25836748,-0.38916063,6,Draco Malfoy,s,good,95,0,23
330,0.10260852,-0.69489884,6,Lucius Malfoy,s,good,63,0,24
331,-0.28329977,-0.74693286,6,Narcissa Malfoy,s,good,12,0,25
332,-0.82715,-2.0052974,6,Minerva McGonagall,g,bad,142,0,26
333,-0.8922118,-1.886321,6,"Alastor ""Mad-Eye"" Moody",n,bad,101,0,27
334,0.26031646,-0.60084283,6,Peter Pettigrew,g,good,189,0,28
335,-1.0393165,-2.0378745,6,Harry Potter,g,bad,201,1,29
336,-0.8694369,-2.1319003,6,James Potter,g,bad,160,0,30
337,-0.84537524,-1.8993338,6,Lily Potter,g,bad,116,0,31
338,-0.048678327,-0.74415857,6,Quirinus Quirrell,r,good,248,1,32
339,-0.848522,-1.7986069,6,Tom Riddle Sr.,m,bad,121,0,33
340,-0.92703295,-1.755136,6,Mary Riddle,m,bad,37,0,34
341,0.11793574,-0.5089734,6,Lord Voldemort,s,good,213,1,35
342,0.26215667,-0.2659526,6,Rita Skeeter,n,good,98,0,36
343,-0.96587116,-1.815068,6,Severus Snape,s,bad,95,0,37
344,-0.943375,-1.7160013,6,Nymphadora Tonks,h,bad,48,0,38
345,0.47847247,-0.29974738,6,Dolores Janes Umbridge,n,good,212,1,39
346,-0.835465,-1.629658,6,Arthur Weasley,g,bad,10,0,40
347,-0.81877905,-1.8071533,6,Bill Weasley,g,bad,37,0,41
348,-0.972357,-1.8403153,6,Charlie Weasley,g,bad,37,0,42
349,-0.7687474,-1.9239327,6,Fred Weasley,g,bad,66,0,43
350,-0.9387156,-1.6948305,6,George Weasley,g,bad,66,0,44
351,-1.0476385,-1.792051,6,Ginny Weasley,g,bad,56,0,45
352,-0.9527367,-1.8957691,6,Molly Weasley,g,bad,55,0,46
353,-1.1383959,-2.104341,6,Ron Weasley,g,bad,132,0,47
